order_date,product,category,price,quantity,amount,province,channel
2023/1/1,手机,电子,3499,2,6998,广东,抖音
2023/1/2,电脑,电子,5999,1,5999,北京,淘宝
2023/1/3,T恤,服装,99,3,297,上海,京东
2023/1/4,裤子,服装,159,2,318,浙江,线下
2023/1/5,沙发,家居,2999,1,2999,四川,抖音
2023/1/6,饼干,食品,35,10,350,广东,淘宝
2023/1/7,手表,电子,1299,1,1299,江苏,京东
2023/1/8,裙子,服装,239,2,478,浙江,线下
2023/1/9,桌子,家居,899,1,899,北京,抖音
2023/1/10,巧克力,食品,89,5,445,上海,淘宝
2023/2/1,手机,电子,3799,1,3799,广东,抖音
2023/2/2,平板,电子,2999,2,5998,北京,京东
2023/2/3,卫衣,服装,129,4,516,浙江,线下
2023/2/4,床垫,家居,1499,1,1499,四川,抖音
2023/2/5,薯片,食品,12,20,240,广东,淘宝
2023/2/6,耳机,电子,399,3,1197,上海,京东
2023/2/7,外套,服装,359,2,718,江苏,线下
2023/2/8,椅子,家居,299,3,897,北京,抖音
2023/2/9,牛奶,食品,65,8,520,浙江,淘宝
2023/3/1,手机,电子,3699,3,11097,广东,抖音
2023/3/2,电脑,电子,6299,1,6299,北京,淘宝
2023/3/3,裤子,服装,179,3,537,上海,京东
2023/3/4,衣柜,家居,1999,1,1999,四川,线下
2023/3/5,面包,食品,18,15,270,广东,抖音
2023/3/6,耳机,电子,459,2,918,北京,京东
2023/3/7,衬衫,服装,159,4,636,浙江,线下
2023/3/8,台灯,家居,129,5,645,上海,淘宝
2023/4/1,手机,电子,3599,2,7198,广东,抖音
2023/4/2,平板,电子,2799,1,2799,北京,淘宝
2023/4/3,裙子,服装,259,3,777,江苏,京东
2023/4/4,窗帘,家居,599,2,1198,浙江,线下
2023/4/5,坚果,食品,128,4,512,上海,抖音
