student_id,homework_avg,attendance,interaction,midterm_score,study_hours,final_score,is_failed
学生1,77.5,26,1,78.6,3.6,70.3,0
学生2,67.9,26,5,48.4,1.9,51.4,1
学生3,79.7,28,8,80.7,2.6,64.1,0
学生4,92.8,28,8,89.4,1.9,66.1,0
学生5,66.5,20,6,72.4,2.0,57.4,1
学生6,66.5,22,10,98.8,2.1,66.1,0
学生7,93.7,26,3,51.1,2.8,61.6,0
学生8,81.5,26,7,42.6,1.9,52.2,1
学生9,63.0,26,8,33.0,4.0,49.7,1
学生10,78.1,30,10,91.9,1.4,62.7,0
学生11,63.0,26,10,76.8,2.3,63.2,0
学生12,63.0,28,3,64.0,2.0,52.2,1
学生13,73.6,27,1,70.0,4.2,70.9,0
学生14,41.3,26,13,44.7,2.7,36.5,1
学生15,44.1,24,9,100.0,3.7,70.0,0
学生16,61.6,27,5,67.3,0.7,50.3,1
学生17,54.8,22,14,67.0,2.8,48.0,1
学生18,74.7,24,8,78.1,3.6,60.1,0
学生19,56.4,23,12,73.7,2.6,52.1,1
学生20,48.8,25,8,69.0,3.8,54.3,1
学生21,92.0,30,16,50.8,1.9,59.4,1
学生22,66.6,19,15,73.5,4.2,56.5,1
学生23,71.0,27,7,98.9,5.3,72.5,0
学生24,48.6,20,11,89.2,2.1,65.8,0
学生25,61.8,23,10,93.7,2.0,69.6,0
学生26,71.7,28,13,55.8,4.2,58.5,1
学生27,52.7,25,4,47.2,4.4,46.7,1
学生28,75.6,21,10,62.7,1.9,54.2,1
学生29,61.0,22,12,66.0,2.0,54.1,1
学生30,65.6,27,0,84.7,2.2,54.0,1
学生31,61.0,22,3,34.5,0.9,35.6,1
学生32,97.8,25,0,92.5,1.4,61.2,0
学生33,69.8,25,6,62.2,1.3,52.9,1
学生34,54.1,23,10,57.3,1.6,48.3,1
学生35,82.3,30,14,46.8,2.5,51.1,1
学生36,51.7,26,8,35.2,2.8,47.3,1
学生37,73.1,18,14,79.8,4.4,57.5,1
学生38,40.6,25,2,66.3,1.3,35.9,1
学生39,50.1,23,1,41.8,3.7,42.9,1
学生40,73.0,27,7,41.7,2.2,52.2,1
学生41,81.1,22,9,59.0,2.4,63.5,0
学生42,72.6,24,7,95.0,3.3,64.8,0
学生43,68.3,26,0,60.3,1.2,54.6,1
学生44,65.5,27,7,37.9,3.0,44.8,1
学生45,47.8,21,2,60.6,2.7,44.5,1
学生46,59.2,23,10,60.1,3.1,55.0,1
学生47,63.1,23,9,16.5,2.8,39.1,1
学生48,85.9,23,4,64.0,5.4,56.1,1
学生49,75.2,30,5,60.8,1.7,61.1,0
学生50,43.6,26,3,77.5,1.9,56.4,1
学生51,74.9,21,7,98.3,1.8,62.2,0
学生52,64.2,27,11,85.3,1.8,61.2,0
